STAGE 183
ROW_1 Wood,Wood,Wood,Wood,Wood,Wood
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Snorlax,Wood,Wood,Snorlax,Wood
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Snorlax,Wood,Wood,Snorlax,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Snorlax,Air,Snorlax,Snorlax,Air,Snorlax
FROW_4 false,false,false,false,false,false
ROW_5 Wood,Snorlax,Wood,Wood,Snorlax,Wood
FROW_5 false,false,false,false,false,false
ROW_6 Wood,Snorlax,Wood,Wood,Snorlax,Wood
FROW_6 false,false,false,false,false,false
