STAGE 278
ROW_1 Pidgeotto,Gible,Gible,Kecleon,Kecleon,Metal
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Wood,Pidgeotto,Kecleon,Kecleon,Gible
FROW_2 false,false,false,false,false,false
ROW_3 Metal,Pupitar,Porygon,Pidgeotto,Porygon,Wood
FROW_3 false,false,true,false,false,true
ROW_4 Wood,Porygon,Wood,Wood,Wood,Wood
FROW_4 false,false,true,true,true,true
ROW_5 Pidgeotto,Wood,Wood,Kecleon,Kecleon,Pupitar
FROW_5 false,false,false,false,false,false
ROW_6 Porygon,Pidgeotto,Porygon,Pidgeotto,Pidgeotto,Pupitar
FROW_6 false,false,false,false,false,false
