STAGE 358
ROW_1 Trapinch,Chandelure,Chandelure,Joltik,Chandelure,Joltik
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Emboar,Chandelure,Maractus,Joltik,Wood
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Emboar,Emboar,Chandelure,Joltik,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Metal,Wood,Chandelure,Maractus,Wood,Metal
FROW_4 false,false,false,false,false,false
ROW_5 Metal,Wood,Chandelure,Maractus,Wood,Metal
FROW_5 false,false,false,false,false,false
ROW_6 Metal,Metal,Trapinch,Trapinch,Metal,Metal
FROW_6 false,false,false,false,false,false
