STAGE SP_006MY
MEGA_PROGRESS 0
ROW_1 Wood,Wood,Charizard,Air,Wood,Wood
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Wood,Air,Charizard,Wood,Wood
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Wood,Air,Charizard,Wood,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Charizard,Air,Wood,Wood,Air,Charizard
FROW_4 false,false,false,false,false,false
ROW_5 Air,Charizard,Wood,Wood,Charizard,Air
FROW_5 false,false,false,false,false,false
ROW_6 Charizard,Air,Wood,Wood,Air,Charizard
FROW_6 false,false,false,false,false,false
