STAGE SP_013
ROW_1 Espurr,Wood,Espurr,Espurr,Wood,Espurr
FROW_1 false,false,false,false,false,false
ROW_2 Espurr,Air,Espurr,Espurr,Air,Espurr
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Air,Wood,Wood,Air,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Wood,Air,Wood,Wood,Air,Wood
FROW_4 false,false,false,false,false,false
ROW_5 Espurr,Air,Espurr,Espurr,Air,Espurr
FROW_5 false,false,false,false,false,false
ROW_6 Espurr,Air,Espurr,Espurr,Air,Espurr
FROW_6 false,false,false,false,false,false
