STAGE SP_016AC
ROW_1 Metal,Metal,Metal,Metal,Metal,Metal
FROW_1 false,false,false,false,false,false
ROW_2 Air,Air,Air,Air,Air,Air
FROW_2 false,false,false,false,false,false
ROW_3 Pikachu_ac,Pikachu_ac,Litten,Pikachu_ac,Litten,Pikachu_ac
FROW_3 false,false,false,false,false,false
ROW_4 Air,Air,Air,Air,Air,Air
FROW_4 false,false,false,false,false,false
ROW_5 Air,Air,Air,Air,Air,Air
FROW_5 false,false,false,false,false,false
ROW_6 Wood,Wood,Wood,Wood,Wood,Wood
FROW_6 false,false,false,false,false,false
