STAGE SP_025C
ROW_1 Wood,Wood,Wood,Wood,Pikachu_c,Wood
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Pikachu_c,Wood,Pikachu,Wood,Pikachu
FROW_2 false,true,false,false,false,false
ROW_3 Wood,Pikachu_c,Wood,Metal,Pikachu,Metal
FROW_3 false,true,false,false,false,false
ROW_4 Wood,Pikachu,Wood,Pikachu,Metal,Pikachu
FROW_4 false,false,false,false,false,false
ROW_5 Wood,Pikachu_c,Wood,Wood,Pikachu,Wood
FROW_5 false,false,false,false,false,false
ROW_6 Wood,Pikachu_c,Wood,Wood,Wood,Wood
FROW_6 false,true,false,false,false,false
