STAGE SP_016G
ROW_1 Metal,Metal,Metal,Metal,Metal,Metal
FROW_1 true,true,true,true,true,true
ROW_2 Pikachu_g,Pikachu_g,Wood,Pikachu_g,Wood,Metal
FROW_2 false,false,false,false,false,true
ROW_3 Wood,Gyarados,Pikachu_g,Gyarados,Pikachu_g,Metal
FROW_3 false,false,false,false,false,true
ROW_4 Wood,Wood,Wood,Gyarados,Gyarados,Metal
FROW_4 false,false,false,false,false,true
ROW_5 Wood,Gyarados,Pikachu_g,Wood,Pikachu_g,Metal
FROW_5 false,false,false,false,false,true
ROW_6 Wood,Gyarados,Pikachu_g,Wood,Pikachu_g,Metal
FROW_6 false,false,false,false,false,true
