STAGE SP_016UC
ROW_1 Air,Air,Air,Air,Air,Air
FROW_1 false,false,false,false,false,false
ROW_2 Wood,Wood,Wood,Wood,Wood,Wood
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Wood,Wood,Wood,Wood,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Tepig,Wood,Snivy,Wood,Oshawott,Wood
FROW_4 false,false,false,false,false,false
ROW_5 Oshawott,Wood,Tepig,Wood,Snivy,Wood
FROW_5 false,false,false,false,false,false
ROW_6 Tepig,Wood,Snivy,Wood,Oshawott,Wood
FROW_6 false,false,false,false,false,false
