STAGE SP_623T
ROW_1 Wormadam_t,Wormadam_t,Wood,Wood,Wormadam_t,Wormadam_t
FROW_1 false,false,false,false,false,false
ROW_2 Air,Air,Wood,Wood,Air,Air
FROW_2 false,false,false,false,false,false
ROW_3 Air,Air,Wood,Wood,Air,Air
FROW_3 false,false,false,false,false,false
ROW_4 Air,Air,Wood,Wood,Air,Air
FROW_4 false,false,false,false,false,false
ROW_5 Air,Air,Wormadam_t,Wormadam_t,Air,Air
FROW_5 false,false,false,false,false,false
ROW_6 Air,Air,Metal,Metal,Air,Air
FROW_6 false,false,false,false,false,false
