STAGE SP_706
ROW_1 Metal,Metal,Metal,Metal,Metal,Metal
FROW_1 false,false,false,false,false,false
ROW_2 Metal,Ditto,Ditto,Metal,Metal,Metal
FROW_2 false,false,false,false,false,false
ROW_3 Wood,Wood,Wood,Ditto,Ditto,Wood
FROW_3 false,false,false,false,false,false
ROW_4 Pichu,Pichu,Togepi,Cleffa,Azurill,Togepi
FROW_4 false,false,false,false,false,false
ROW_5 Pichu,Pichu,Togepi,Cleffa,Azurill,Togepi
FROW_5 false,false,false,false,false,false
ROW_6 Togepi,Azurill,Cleffa,Togepi,Pichu,Pichu
FROW_6 false,false,false,false,false,false
